530141,Gyan Developers ,
532467,Hazoor Multi Project ,
532334,HB Estate Devlpr ,
532873,HDIL ,
541019,HG Infra Engineering ,
500185,Hind.ConstructionCo. ,
532799,Hubtown ,
531968,IITL Projects ,
532907,IL&FS Engineering ,
540152,India Green Reality ,
531343,India Infraspace ,
533520,Indiabulls Integrate ,
532832,Indiabulls Real Esta ,
532947,IRB Infrastructure ,
540134,Ishaan Infrastru ,
509496,ITD Cementation Indi ,
530773,IVRCL ,
532940,J Kumar Infraproject ,
531339,Jaihind Projects ,
526865,Jainco Projects ,
532532,JaiprakashAssociates ,
533207,Jaypee Infratech Ltd ,
538794,Jet Infraventure ,
522263,JMC Projects*,
506016,JRI Industries & Inf ,
511131,Kamanwala Housing Co ,
541161,Karda Constructions ,
532925,Kaushalya Infrastruc ,
531784,KCL Infra Projects ,
530215,King Infra Ventures ,
531578,KMF Builders & D ,
532942,KNR Constructions ,
532924,Kolte-Patil Develope ,
509048,LancorHoldings Ltd ,
533012,Landmark Property De ,
531497,Madhucon Project ,
532313,Mahindra Lifespace D*,
533169,Man Infraconstructio*,
540402,Manas Properties ,
533078,Manjeera Constru ,
526115,Manor Estates & Ind ,
503101,MarathonNextgenRea ,
530543,Marg Ltd. ,
513648,Marg Projects and In ,
523566,Martin Burn Ltd. ,
531540,Maruti Infrastru ,
534338,Maxheights Infra ,
533152,MBL Infrastructures ,
511367,Meglon Infra-Real (I ,
532991,MVL Ltd. ,
531416,Narendra Propert ,
531494,Navkar Builders ,
534309,NBCC (India) ,
500294,NCC*,
530377,Nila Infrastructures ,
511714,Nimbus Projects ,
532986,Niraj Cement Structu ,
533202,Nitesh Estates ,
504378,Nyssa Corporation ,
533273,Oberoi Realty ,
532880,Omaxe Ltd. ,
540198,Osiajee Texfab ,
539291,Ozone World ,
532911,Parle Software Ltd. ,
532780,Parsvnath Developers ,
531120,Patel Engg. Ltd. ,
524031,Patidar Buildcon ,
503031,Peninsula Land L*,
503100,Phoenix Mills ,
539150,PNC Infratech ,
523628,Poddar Housing ,
531870,Popular Estate Manag ,
531746,Prajay Engineers ,
533605,Prakash Constrowell ,
533274,Prestige Estates Pro ,
530695,Prime Property Devel ,
540544,PSP Projects ,
532693,Punj Lloyd ,
532891,Puravankara ,
538993,Purohit Construction ,
517556,PVP Ventures Ltd. ,
536659,PVV Infra ,
538596,Quantum Build-Tech ,
531273,Radhe Developers*,
531694,Rainbow Foundati ,
526823,Rajeswari Infra ,
533262,Ramky Infrastructure ,
531228,Rander Corporati ,
540796,Ratnabhumi Developer ,
533285,RDB Realty & Infrast ,
540426,Relstruct Buildcon ,
526407,Ritesh Properties & ,
531822,Rodium Realty L ,
533284,RPP Infra Projects L ,
531552,RTCL Ltd. ,
539112,SAB Industries ,
532710,Sadbhav Engineering ,
535466,Samruddhi Realty Ltd ,
508996,Satra Properties ( I ,
540147,Shashijit Infraproje ,
526839,Shelter Infra ,
531080,Shri Krishna Devcon ,
511411,Shristi Infrastructu ,
524642,Sikozy Realtors ,
536073,Silverpoint Infratec ,
523838,Simplex Infrastructu ,
532877,Simplex Projects ,
503229,Simplex Realty*,
539861,SKIL Infrastructure ,
532784,Sobha*,
526532,Square Four Projects ,
539363,Sri Krishna Construc ,
533305,SRS Real Infrastruct ,
530821,SSPDL Ltd. ,
513173,Steel Strips Infrast ,
535141,Sunstar Realty Devel ,
512179,Sunteck Realty Ltd. ,
532904,Supreme Infrastructu ,
535621,SV Global Mill Ltd. ,
539041,SVP Housing ,
531909,Swagruha Infrastruct ,
532738,Tantia Constructions ,
532869,Tarmat L ,
521228,Tatia Global Venntur ,
533393,TCI Developers Ltd. ,
526576,Techindia Nirman Ltd*,
505400,Texmaco Infrastructu ,
526654,Thakker's Develo ,
531814,Tirupati Sarjan ,
537582,Unishire Urban Infra ,
507878,Unitech Ltd. ,
531676,Vaghani Techno-Build ,
531574,Vas Infrastructure L ,
533156,Vascon Engineers Ltd ,
523724,Vijay Shanthi Bu ,
511726,Vipul Ltd. ,
511276,Vishvas Projects ,
536128,VKJ Infradevelopers ,
512215,Vora Constructio ,
503675,Wagend Infra Venture ,
532016,Wellesley Corp*,
532553,Welspun Enterprises*,
522209,Yogi Infra Projects ,
536846,Yuranus Infra ,
506720,Zandu Realty ,
500780,Zuari Global ,
500074,BPL Ltd. ,
517236,Calcom Vision ,
517238,Dyna Vision ,
500279,Mirc Electronics ,
530435,Noesis Industries ,
500370,Salora Intl. ,
523449,Sharp India ,
511389,Videocon Industries*,
530843,Cupid Ltd. ,
526612,Blue Dart Expres*,
526737,Corp.Couriers&Cargo ,
532345,Gati Ltd. ,
505029,AtlasCycles(Haryana) ,
539561,Roxy Exports ,
532994,Archidply Industries ,
526225,Bloom Dekor Ltd. ,
538715,Dhabriya Polywood ,
523732,Ecoboard Ind. ,
526797,Greenply Industr ,
516007,Mangalam Timber ,
516062,National Plywood Ind ,
526490,Pratik Panels Li ,
516003,Sarda Plywood ,
532646,Uniply Industries ,
532548,Century Plyboards ,
540954,The Indian Wood Prod ,
526957,Uniply Decor ,
506935,Continental Chem ,
530853,Hipolin Ltd. ,
524136,Pee Cee Cosma ,
500777,Tamilnadu Petroprod ,
531847,Asian Star Co ,
540545,Bhakti Gems and Jewe ,
539884,Darshan Orna ,
539559,Deep Diamond India ,
540936,Gautam Gems ,
532715,Gitanjali Gems ,
533189,Goenka Diamond & Jew ,
526729,Goldiam Internat ,
523676,Golkunda Diamond ,
530663,Goyal Associates ,
506184,Kanani Industries Lt ,
540953,Kenvi Jewels ,
534532,Lypsa Gems & Jewell ,
523373,Mini Diamonds ,
539220,Mishka Exim ,
519455,Narbada Gems & Jewel ,
526195,Neogem India Ltd ,
539116,O P Chains Ltd. ,
531626,Orosil Smiths India ,
541444,Palm Jewels ,
539401,Patdiam Jewellery Lt ,
534809,PC Jeweller L ,
540492,Pure Giftcarat ,
540125,Radhika Jeweltech ,
531500,Rajesh Exports L ,
532923,Renaissance Jeweller*,
540715,Sagar Diamonds ,
530525,Sheetal Diamonds ,
531506,Shukra Bullions ,
523826,Sovereign Diamon ,
533569,SRS Ltd. ,
523425,Sunraj Diamonds ,
526365,Swarnsarita Gems ,
512257,Swasti Vinayaka Art ,
534756,Tara Jewels Ltd. ,
533158,Thangamayil Jeweller*,
534369,Tribhovandas Bhimji*,
541338,U H Zaveri ,
539518,Uday Jewellery ,
532156,Vaibhav Global Ltd.*,
540252,Veeram Ornaments ,
512587,Zodiac JRD MKJ L ,
523395,3M India Ltd.*,
526707,Alchemist ,
526173,Andrew Yule & Co ,
523319,Balmer Lawrie & ,
539447,Beardsell Ltd. ,
